,0
0,A Coruna
1,Alava
2,Albacete
3,Alicante
4,Almeria
5,Asturias
6,Avila
7,Badajoz
8,Balearic Islands
9,Barcelona
10,Burgos
11,Caceres
12,Cadiz
13,Cantabria
14,Ceuta
15,Ciudad Real
16,Cordoba
17,Cuenca
18,Girona
19,Granada
20,Guadalajara
21,Guipuzcoa
22,Huelva
23,Huesca
24,Jaen
25,La Rioja
26,Las Palmas
27,Leon
28,Lleida
29,Lugo
30,Madrid
31,Malaga
32,Melilla
33,Murcia
34,Navarre
35,Ourense
36,Palencia
37,Pontevedra
38,Salamanca
39,Santa Cruz De Tenerife
40,Segovia
41,Seville
42,Soria
43,Tarragona
44,Teruel
45,Toledo
46,Valencia
47,Valladolid
48,Vizcaya
49,Zamora
50,Zaragoza
